Question,Answer
What is Python?,Python is a high-level interpreted programming language.
What is a variable?,A variable stores data values.
What is a list?,A list is an ordered collection.
What is a tuple?,A tuple is immutable collection.
What is dictionary?,Dictionary stores key-value pairs.
What is function?,Function performs a task.
What is loop?,Loop repeats code.
What is Python used for?,Used in AI web and data science.
What is indentation?,Defines code structure.
What are features of Python?,Easy readable portable.
